(1, 901714, '2016-01-25', 'Credit Card', 1),
(120, 863993, '2016-01-12', 'Cash', 120),
(121, 254917, '2016-01-19', 'Cash', 121),
(122, 267383, '2016-01-17', 'Cash', 122),
(123, 842840, '2016-01-19', 'Cash', 123),
(124, 814328, '2016-01-28', 'Credit Card', 124),
(125, 492887, '2016-01-12', 'Check', 125),
(126, 194736, '2016-01-10', 'Cash', 126),
(127, 839938, '2016-01-10', 'Check', 127),
(128, 630608, '2016-01-20', 'Cash', 128),
(129, 592917, '2016-01-15', 'Cash', 129),
(130, 630564, '2016-01-22', 'Check', 130),
(131, 953943, '2016-01-18', 'Credit Card', 131),
(132, 421727, '2016-01-27', 'Check', 132),
(133, 552079, '2016-01-14', 'Cash', 133),
(134, 333198, '2016-01-26', 'Cash', 134),
(135, 981924, '2016-01-18', 'Check', 135),
(136, 621050, '2016-01-11', 'Check', 136),
(137, 255244, '2016-01-27', 'Credit Card', 137),
(138, 442863, '2016-01-26', 'Check', 138),
(139, 441646, '2016-01-29', 'Check', 139),
(140, 795261, '2016-01-11', 'Cash', 140),
(141, 196667, '2016-01-13', 'Cash', 141),
(142, 647179, '2016-01-24', 'Credit Card', 142),
(143, 437696, '2016-01-20', 'Cash', 143),
(144, 409972, '2016-01-26', 'Cash', 144),
(145, 672318, '2016-01-14', 'Cash', 145),
(146, 74811, '2016-01-20', 'Check', 146),
(147, 407828, '2016-01-23', 'Credit Card', 147),
(148, 963660, '2016-01-14', 'Check', 148),
(149, 35191, '2016-01-20', 'Cash', 149),
(150, 689591, '2016-01-23', 'Check', 150),
(151, 826205, '2016-01-29', 'Check', 151),
(152, 201271, '2016-01-20', 'Check', 152),
(153, 47288, '2016-01-12', 'Check', 153),
(154, 447437, '2016-01-19', 'Check', 154),
(155, 480559, '2016-01-16', 'Check', 155),
(156, 606444, '2016-01-24', 'Credit Card', 156),
(157, 978719, '2016-01-13', 'Check', 157),
(158, 581108, '2016-01-19', 'Cash', 158),
(159, 360956, '2016-01-21', 'Cash', 159),
(160, 316740, '2016-01-12', 'Check', 160),
(161, 986410, '2016-01-12', 'Check', 161),
(162, 463462, '2016-01-22', 'Check', 162),
(163, 458807, '2016-01-17', 'Cash', 163),
(164, 929470, '2016-01-19', 'Check', 164),
(165, 492292, '2016-01-27', 'Check', 165),
(166, 688220, '2016-01-26', 'Credit Card', 166),
(167, 866039, '2016-01-17', 'Credit Card', 167),
(168, 916794, '2016-01-13', 'Check', 168),
(169, 293533, '2016-01-16', 'Cash', 169),
(170, 118485, '2016-01-16', 'Credit Card', 170),
(171, 435965, '2016-01-17', 'Check', 171),
(172, 967580, '2016-01-12', 'Credit Card', 172),
(173, 685353, '2016-01-21', 'Cash', 173),
(174, 227246, '2016-01-23', 'Check', 174),
(175, 159254, '2016-01-14', 'Check', 175),
(176, 820217, '2016-01-15', 'Check', 176),
(177, 540303, '2016-01-14', 'Check', 177),
(178, 300948, '2016-01-22', 'Cash', 178),
(179, 960646, '2016-01-28', 'Cash', 179),
(180, 185039, '2016-01-13', 'Credit Card', 180),
(181, 656490, '2016-01-22', 'Credit Card', 181),
(182, 776827, '2016-01-19', 'Check', 182),
(183, 194581, '2016-01-28', 'Cash', 183),
(184, 477318, '2016-01-28', 'Cash', 184),
(185, 111165, '2016-01-30', 'Cash', 185),
(186, 437174, '2016-01-30', 'Cash', 186),
(187, 90745, '2016-01-16', 'Cash', 187),
(188, 671895, '2016-01-16', 'Credit Card', 188),
(189, 205358, '2016-01-17', 'Check', 189),
(190, 138952, '2016-01-21', 'Cash', 190),
(191, 223701, '2016-01-19', 'Credit Card', 191),
(192, 538424, '2016-01-27', 'Credit Card', 192),
(193, 839786, '2016-01-25', 'Cash', 193),
(194, 335262, '2016-01-10', 'Cash', 194),
(195, 284233, '2016-01-16', 'Cash', 195),
(196, 501958, '2016-01-24', 'Check', 196),
(197, 692129, '2016-01-17', 'Cash', 197),
(198, 846048, '2016-01-23', 'Check', 198),
(199, 913807, '2016-01-28', 'Check', 199),
(200, 577127, '2016-01-14', 'Cash', 200),
(201, 330994, '2016-01-14', 'Check', 201),
(202, 949133, '2016-01-11', 'Cash', 202),
(203, 697662, '2016-01-28', 'Check', 203),
(204, 755538, '2016-01-20', 'Cash', 204),
(205, 952314, '2016-01-26', 'Check', 205),
(206, 439177, '2016-01-17', 'Check', 206),
(207, 66423, '2016-01-23', 'Credit Card', 207),
(208, 795182, '2016-01-29', 'Credit Card', 208),
(209, 659827, '2016-01-19', 'Credit Card', 209),
(210, 21509, '2016-01-23', 'Check', 210),
(211, 210864, '2016-01-26', 'Credit Card', 211),
(212, 447614, '2016-01-14', 'Credit Card', 212),
(213, 282319, '2016-01-27', 'Credit Card', 213),
(214, 189872, '2016-01-27', 'Check', 214),
(215, 429471, '2016-01-13', 'Credit Card', 215),
(216, 873490, '2016-01-23', 'Cash', 216),
(217, 46807, '2016-01-24', 'Cash', 217),
(218, 592125, '2016-01-21', 'Credit Card', 218),
(219, 113805, '2016-01-15', 'Check', 219),
(220, 379606, '2016-01-30', 'Credit Card', 220),
(221, 958579, '2016-01-22', 'Cash', 221),
(222, 875665, '2016-01-24', 'Credit Card', 222),
(223, 842294, '2016-01-26', 'Credit Card', 223),
(224, 281068, '2016-01-20', 'Check', 224),
(225, 686024, '2016-01-24', 'Cash', 225),
(226, 114947, '2016-01-23', 'Cash', 226),
(227, 589092, '2016-01-14', 'Check', 227),
(228, 550394, '2016-01-18', 'Check', 228),
(229, 30631, '2016-01-10', 'Check', 229),
(230, 996829, '2016-01-25', 'Credit Card', 230),
(231, 610877, '2016-01-24', 'Credit Card', 231),
(232, 641423, '2016-01-13', 'Check', 232),
(233, 810149, '2016-01-22', 'Cash', 233),
(234, 445705, '2016-01-15', 'Check', 234),
(235, 221088, '2016-01-25', 'Check', 235),
(236, 759776, '2016-01-13', 'Credit Card', 236),
(237, 965960, '2016-01-23', 'Credit Card', 237),
(238, 199388, '2016-01-18', 'Cash', 238),
(239, 727984, '2016-01-15', 'Check', 239),
(240, 113243, '2016-01-14', 'Cash', 240),
(241, 703967, '2016-01-23', 'Cash', 241),
(242, 998514, '2016-01-18', 'Credit Card', 242),
(243, 90128, '2016-01-21', 'Check', 243),
(244, 425000, '2016-01-27', 'Check', 244),
(245, 731990, '2016-01-20', 'Check', 245),
(246, 26926, '2016-01-21', 'Cash', 246),
(247, 650444, '2016-01-28', 'Cash', 247),
(248, 679821, '2016-01-21', 'Cash', 248),
(249, 155530, '2016-01-12', 'Credit Card', 249),
(250, 977877, '2016-01-16', 'Check', 250),
(251, 397804, '2016-01-19', 'Check', 251),
(252, 808560, '2016-01-13', 'Check', 252),
(253, 218060, '2016-01-14', 'Credit Card', 253),
(254, 311232, '2016-01-16', 'Check', 254),
(255, 483303, '2016-01-21', 'Cash', 255),
(256, 979130, '2016-01-21', 'Cash', 256),
(257, 721542, '2016-01-18', 'Credit Card', 257),
(258, 209860, '2016-01-21', 'Cash', 258),
(259, 586795, '2016-01-28', 'Credit Card', 259),
(260, 232894, '2016-01-17', 'Cash', 260),
(261, 17735, '2016-01-15', 'Check', 261),
(262, 649330, '2016-01-14', 'Credit Card', 262),
(263, 848083, '2016-01-11', 'Cash', 263),
(264, 23953, '2016-01-18', 'Credit Card', 264),
(265, 691066, '2016-01-26', 'Credit Card', 265),
(266, 223733, '2016-01-13', 'Cash', 266),
(267, 306228, '2016-01-23', 'Credit Card', 267),
(268, 825177, '2016-01-20', 'Check', 268),
(269, 269311, '2016-01-24', 'Credit Card', 269),
(270, 821922, '2016-01-23', 'Credit Card', 270),
(271, 879856, '2016-01-20', 'Check', 271),
(272, 778984, '2016-01-18', 'Check', 272),
(273, 579161, '2016-01-25', 'Credit Card', 273),
(274, 552854, '2016-01-19', 'Check', 274),
(275, 801036, '2016-01-27', 'Check', 275),
(276, 42846, '2016-01-29', 'Credit Card', 276),
(277, 729862, '2016-01-18', 'Cash', 277),
(278, 195788, '2016-01-30', 'Check', 278),
(279, 985379, '2016-01-24', 'Cash', 279),
(280, 829329, '2016-01-16', 'Check', 280),
(281, 599551, '2016-01-27', 'Cash', 281),
(282, 321096, '2016-01-30', 'Check', 282),
(283, 611288, '2016-01-29', 'Check', 283),
(284, 868040, '2016-01-28', 'Cash', 284),
(285, 475677, '2016-01-27', 'Check', 285),
(286, 360186, '2016-01-25', 'Credit Card', 286),
(287, 411999, '2016-01-12', 'Check', 287),
(288, 192302, '2016-01-28', 'Check', 288),
(289, 522922, '2016-01-29', 'Check', 289),
(290, 578602, '2016-01-28', 'Credit Card', 290),
(291, 504984, '2016-01-19', 'Check', 291),
(292, 556608, '2016-01-26', 'Cash', 292),
(293, 829447, '2016-01-22', 'Cash', 293),
(294, 644784, '2016-01-13', 'Cash', 294),
(295, 714573, '2016-01-19', 'Cash', 295),
(296, 141934, '2016-01-29', 'Check', 296),
(297, 694954, '2016-01-10', 'Cash', 297),
(298, 128150, '2016-01-29', 'Credit Card', 298),
(299, 145272, '2016-01-15', 'Cash', 299),
(300, 244860, '2016-01-25', 'Check', 300),
(301, 512045, '2016-01-20', 'Check', 301),
(302, 174167, '2016-01-25', 'Credit Card', 302),
(303, 715105, '2016-01-17', 'Cash', 303),
(304, 823124, '2016-01-16', 'Credit Card', 304),
(305, 265694, '2016-01-19', 'Credit Card', 305),
(306, 600940, '2016-01-13', 'Cash', 306),
(307, 920577, '2016-01-14', 'Credit Card', 307),
(308, 744705, '2016-01-19', 'Cash', 308),
(309, 974253, '2016-01-13', 'Check', 309),
(310, 561453, '2016-01-14', 'Check', 310),
(311, 477354, '2016-01-26', 'Cash', 311),
(312, 729824, '2016-01-25', 'Cash', 312),
(313, 809350, '2016-01-18', 'Cash', 313),
(314, 158057, '2016-01-25', 'Check', 314),
(315, 903608, '2016-01-30', 'Credit Card', 315),
(316, 595371, '2016-01-22', 'Cash', 316),
(317, 511292, '2016-01-27', 'Cash', 317),
(318, 621071, '2016-01-28', 'Cash', 318),
(319, 386122, '2016-01-21', 'Credit Card', 319),
(320, 379187, '2016-01-30', 'Check', 320),
(321, 991141, '2016-01-18', 'Check', 321),
(322, 981433, '2016-01-25', 'Check', 322),
(323, 822734, '2016-01-26', 'Credit Card', 323),
(324, 807338, '2016-01-11', 'Check', 324),
(325, 560505, '2016-01-11', 'Credit Card', 325),
(326, 468221, '2016-01-28', 'Check', 326),
(327, 478451, '2016-01-25', 'Cash', 327),
(328, 881093, '2016-01-13', 'Credit Card', 328),
(329, 855274, '2016-01-13', 'Check', 329),
(330, 525575, '2016-01-10', 'Credit Card', 330),
(331, 576686, '2016-01-11', 'Credit Card', 331),
(332, 191670, '2016-01-11', 'Credit Card', 332),
(333, 310033, '2016-01-30', 'Credit Card', 333),
(334, 940065, '2016-01-14', 'Cash', 334),
(335, 471456, '2016-01-11', 'Cash', 335),
(336, 229951, '2016-01-24', 'Credit Card', 336),
(337, 895668, '2016-01-10', 'Credit Card', 337),
(338, 108857, '2016-01-28', 'Cash', 338),
(339, 721084, '2016-01-12', 'Credit Card', 339),
(340, 65407, '2016-01-18', 'Cash', 340),
(341, 543859, '2016-01-20', 'Cash', 341),
(342, 361197, '2016-01-22', 'Credit Card', 342),
(343, 189030, '2016-01-13', 'Credit Card', 343),
(344, 293211, '2016-01-27', 'Credit Card', 344),
(345, 128517, '2016-01-23', 'Credit Card', 345),
(346, 320664, '2016-01-20', 'Credit Card', 346),
(347, 832742, '2016-01-11', 'Check', 347),
(348, 741170, '2016-01-29', 'Cash', 348),
(349, 276046, '2016-01-18', 'Credit Card', 349),
(350, 823408, '2016-01-11', 'Credit Card', 350),
(351, 337135, '2016-01-23', 'Cash', 351),
(352, 98490, '2016-01-29', 'Credit Card', 352),
(353, 603301, '2016-01-10', 'Credit Card', 353),
(354, 488176, '2016-01-25', 'Cash', 354),
(355, 765249, '2016-01-20', 'Check', 355),
(356, 176655, '2016-01-12', 'Cash', 356),
(357, 664541, '2016-01-20', 'Cash', 357),
(358, 757307, '2016-01-18', 'Credit Card', 358),
(359, 854904, '2016-01-20', 'Credit Card', 359),
(360, 768720, '2016-01-25', 'Cash', 360),
(361, 296338, '2016-01-24', 'Check', 361),
(362, 884082, '2016-01-11', 'Cash', 362),
(363, 166789, '2016-01-29', 'Check', 363),
(364, 457178, '2016-01-20', 'Check', 364),
(365, 252382, '2016-01-23', 'Cash', 365),
(366, 320829, '2016-01-20', 'Check', 366),
(367, 256300, '2016-01-10', 'Credit Card', 367),
(368, 182252, '2016-01-22', 'Cash', 368),
(369, 138490, '2016-01-21', 'Cash', 369),
(370, 664012, '2016-01-14', 'Check', 370),
(371, 788681, '2016-01-23', 'Credit Card', 371),
(372, 311923, '2016-01-30', 'Credit Card', 372),
(373, 481670, '2016-01-27', 'Credit Card', 373),
(374, 837163, '2016-01-18', 'Check', 374),
(375, 614534, '2016-01-13', 'Credit Card', 375),
(376, 232304, '2016-01-18', 'Credit Card', 376),
(377, 686112, '2016-01-23', 'Credit Card', 377),
(378, 609978, '2016-01-16', 'Check', 378),
(379, 520614, '2016-01-22', 'Check', 379),
(380, 622083, '2016-01-17', 'Credit Card', 380),
(381, 83149, '2016-01-19', 'Credit Card', 381),
(382, 552151, '2016-01-23', 'Cash', 382),
(383, 318985, '2016-01-28', 'Credit Card', 383),
(384, 307689, '2016-01-16', 'Credit Card', 384),
(385, 821853, '2016-01-19', 'Check', 385),
(386, 203609, '2016-01-18', 'Credit Card', 386),
(387, 16058, '2016-01-30', 'Check', 387),
(388, 626525, '2016-01-16', 'Credit Card', 388),
(389, 751756, '2016-01-16', 'Credit Card', 389),
(390, 118684, '2016-01-19', 'Check', 390),
(391, 541844, '2016-01-29', 'Credit Card', 391),
(392, 364224, '2016-01-21', 'Check', 392),
(393, 229411, '2016-01-10', 'Check', 393),
(394, 580475, '2016-01-10', 'Cash', 394),
(395, 448819, '2016-01-19', 'Check', 395),
(396, 398169, '2016-01-21', 'Check', 396),
(397, 235978, '2016-01-25', 'Check', 397),
(398, 773149, '2016-01-16', 'Check', 398),
(399, 119208, '2016-01-29', 'Credit Card', 399),
(400, 573745, '2016-01-27', 'Check', 400),
(401, 703840, '2016-01-10', 'Cash', 401),
(402, 414284, '2016-01-10', 'Credit Card', 402),
(403, 889228, '2016-01-26', 'Cash', 403),
(404, 661739, '2016-01-11', 'Cash', 404),
(405, 696385, '2016-01-13', 'Credit Card', 405),
(406, 196451, '2016-01-28', 'Credit Card', 406),
(407, 328843, '2016-01-11', 'Check', 407),
(408, 625123, '2016-01-20', 'Check', 408),
(409, 616511, '2016-01-10', 'Cash', 409),
(410, 737243, '2016-01-19', 'Credit Card', 410),
(411, 75922, '2016-01-20', 'Check', 411),
(412, 181036, '2016-01-17', 'Check', 412),
(413, 46171, '2016-01-21', 'Check', 413),
(414, 209658, '2016-01-13', 'Check', 414),
(415, 704365, '2016-01-28', 'Cash', 415),
(416, 19223, '2016-01-23', 'Credit Card', 416),
(417, 861331, '2016-01-10', 'Cash', 417),
(418, 300374, '2016-01-29', 'Cash', 418),
(419, 676714, '2016-01-24', 'Check', 419),
(420, 101419, '2016-01-19', 'Check', 420),
(421, 564077, '2016-01-22', 'Credit Card', 421),
(422, 111808, '2016-01-20', 'Cash', 422),
(423, 933039, '2016-01-12', 'Check', 423),
(424, 947192, '2016-01-15', 'Credit Card', 424),
(425, 266323, '2016-01-10', 'Cash', 425),
(426, 945068, '2016-01-19', 'Check', 426),
(427, 519510, '2016-01-19', 'Cash', 427),
(428, 130643, '2016-01-19', 'Cash', 428),
(429, 17524, '2016-01-11', 'Credit Card', 429),
(430, 204914, '2016-01-17', 'Credit Card', 430),
(431, 371934, '2016-01-15', 'Cash', 431),
(432, 739010, '2016-01-16', 'Cash', 432),
(433, 282160, '2016-01-11', 'Credit Card', 433),
(434, 134676, '2016-01-10', 'Cash', 434),
(435, 71769, '2016-01-28', 'Credit Card', 435),
(436, 398720, '2016-01-30', 'Check', 436),
(437, 81328, '2016-01-13', 'Cash', 437),
(438, 698706, '2016-01-14', 'Credit Card', 438),
(439, 824672, '2016-01-18', 'Cash', 439),
(440, 716709, '2016-01-28', 'Check', 440),
(441, 396766, '2016-01-25', 'Check', 441),
(442, 512411, '2016-01-26', 'Check', 442),
(443, 254454, '2016-01-21', 'Cash', 443),
(444, 314972, '2016-01-18', 'Check', 444),
(445, 754834, '2016-01-28', 'Check', 445),
(446, 245149, '2016-01-20', 'Cash', 446),
(447, 648473, '2016-01-24', 'Credit Card', 447),
(448, 124174, '2016-01-24', 'Check', 448),
(449, 622575, '2016-01-21', 'Credit Card', 449),
(450, 269374, '2016-01-19', 'Cash', 450),
(451, 563989, '2016-01-27', 'Credit Card', 451),
(452, 837939, '2016-01-16', 'Cash', 452),
(453, 217828, '2016-01-16', 'Credit Card', 453),
(454, 580285, '2016-01-11', 'Credit Card', 454),
(455, 188745, '2016-01-29', 'Credit Card', 455),
(456, 482943, '2016-01-22', 'Cash', 456),
(457, 920560, '2016-01-25', 'Credit Card', 457),
(458, 623959, '2016-01-17', 'Check', 458),
(459, 793163, '2016-01-19', 'Credit Card', 459),
(460, 981301, '2016-01-25', 'Check', 460),
(461, 13082, '2016-01-20', 'Check', 461),
(462, 238418, '2016-01-16', 'Cash', 462),
(463, 175933, '2016-01-10', 'Cash', 463),
(464, 430924, '2016-01-24', 'Cash', 464),
(465, 542623, '2016-01-26', 'Cash', 465),
(466, 631464, '2016-01-14', 'Cash', 466),
(467, 979479, '2016-01-20', 'Check', 467),
(468, 416482, '2016-01-14', 'Cash', 468),
(469, 840864, '2016-01-22', 'Credit Card', 469),
(470, 151204, '2016-01-18', 'Credit Card', 470),
(471, 706857, '2016-01-27', 'Check', 471),
(472, 948426, '2016-01-23', 'Credit Card', 472),
(473, 521455, '2016-01-29', 'Check', 473),
(474, 280167, '2016-01-25', 'Check', 474),
(475, 396914, '2016-01-16', 'Cash', 475),
(476, 480102, '2016-01-23', 'Cash', 476),
(477, 238300, '2016-01-29', 'Check', 477),
(478, 631671, '2016-01-23', 'Credit Card', 478),
(479, 760269, '2016-01-29', 'Check', 479),
(480, 533444, '2016-01-23', 'Check', 480),
(481, 904464, '2016-01-18', 'Cash', 481),
(482, 407671, '2016-01-13', 'Cash', 482),
(483, 614575, '2016-01-13', 'Credit Card', 483),
(484, 101936, '2016-01-25', 'Cash', 484),
(485, 693896, '2016-01-24', 'Credit Card', 485),
(486, 180709, '2016-01-18', 'Credit Card', 486),
(487, 423847, '2016-01-27', 'Check', 487),
(488, 725589, '2016-01-21', 'Check', 488),
(489, 415880, '2016-01-19', 'Credit Card', 489),
(490, 98800, '2016-01-26', 'Check', 490),
(491, 73217, '2016-01-23', 'Check', 491),
(492, 246548, '2016-01-20', 'Credit Card', 492),
(493, 365114, '2016-01-15', 'Cash', 493),
(494, 861074, '2016-01-27', 'Cash', 494),
(495, 337362, '2016-01-23', 'Cash', 495),
(496, 55588, '2016-01-16', 'Check', 496),
(497, 538619, '2016-01-24', 'Check', 497),
(498, 393849, '2016-01-13', 'Credit Card', 498),
(499, 548115, '2016-01-12', 'Check', 499),
(500, 19264, '2016-01-29', 'Cash', 500),
(501, 194318, '2016-01-29', 'Cash', 501),
(502, 481443, '2016-01-23', 'Cash', 502),
(503, 34239, '2016-01-29', 'Credit Card', 503),
(504, 284769, '2016-01-19', 'Credit Card', 504),
(505, 415036, '2016-01-12', 'Cash', 505),
(506, 613454, '2016-01-13', 'Cash', 506),
(507, 574246, '2016-01-10', 'Cash', 507),
(508, 504645, '2016-01-26', 'Credit Card', 508),
(509, 85967, '2016-01-10', 'Cash', 509),
(510, 590559, '2016-01-29', 'Credit Card', 510),
(511, 81239, '2016-01-23', 'Cash', 511),
(512, 536442, '2016-01-25', 'Cash', 512),
(513, 893143, '2016-01-20', 'Check', 513),
(514, 583890, '2016-01-29', 'Check', 514),
(515, 657276, '2016-01-14', 'Credit Card', 515),
(516, 973124, '2016-01-13', 'Cash', 516),
(517, 615394, '2016-01-10', 'Check', 517),
(518, 129001, '2016-01-13', 'Cash', 518),
(519, 293491, '2016-01-25', 'Credit Card', 519),
(520, 708584, '2016-01-16', 'Check', 520),
(521, 652407, '2016-01-29', 'Credit Card', 521),
(522, 514081, '2016-01-13', 'Cash', 522),
(523, 791322, '2016-01-14', 'Cash', 523),
(524, 58978, '2016-01-21', 'Credit Card', 524),
(525, 257024, '2016-01-29', 'Credit Card', 525),
(526, 273629, '2016-01-29', 'Credit Card', 526),
(527, 409600, '2016-01-10', 'Cash', 527),
(528, 164760, '2016-01-19', 'Credit Card', 528),
(529, 260730, '2016-01-15', 'Cash', 529),
(530, 423106, '2016-01-26', 'Credit Card', 530),
(531, 751956, '2016-01-25', 'Check', 531),
(532, 900291, '2016-01-12', 'Check', 532),
(533, 147384, '2016-01-11', 'Cash', 533),
(534, 717227, '2016-01-17', 'Credit Card', 534),
(535, 949051, '2016-01-26', 'Credit Card', 535),
(536, 717671, '2016-01-16', 'Check', 536),
(537, 561704, '2016-01-20', 'Check', 537),
(538, 274499, '2016-01-22', 'Cash', 538),
(539, 20450, '2016-01-29', 'Check', 539),
(540, 669073, '2016-01-26', 'Cash', 540),
(541, 925756, '2016-01-15', 'Credit Card', 541),
(542, 543399, '2016-01-27', 'Check', 542),
(543, 241652, '2016-01-22', 'Check', 543),
(544, 397261, '2016-01-27', 'Credit Card', 544),
(545, 848750, '2016-01-28', 'Cash', 545),
(546, 241120, '2016-01-12', 'Credit Card', 546),
(547, 382712, '2016-01-17', 'Credit Card', 547),
(548, 607207, '2016-01-30', 'Cash', 548),
(549, 202831, '2016-01-24', 'Credit Card', 549),
(550, 274248, '2016-01-22', 'Cash', 550),
(551, 696217, '2016-01-27', 'Cash', 551),
(552, 382791, '2016-01-22', 'Cash', 552),
(553, 550240, '2016-01-29', 'Credit Card', 553),
